Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
2020-09-20,league-one,Rochdale,Portsmouth,https://www.playnow.com/sports/in-play/event/10198972/rochdale-v-portsmouth,1.52,2.35,3.4,1.26,9,1.03,0,0,0,0,0,0
2020-09-20,league-one,Accrington Stanley,Oxford United,https://www.playnow.com/sports/sports/event/10203515/accrington-stanley-v-oxford-united,1.05,9,1.28,3.25,1.9,1.8,3.2,1.3,5.75,1.1,0,0
2020-09-19,league-one,Wigan Athletic,Gillingham FC,https://www.playnow.com/sports/sports/event/10199363/wigan-athletic-v-gillingham-fc,1.05,9,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0
2020-09-19,league-one,Shrewsbury Town,Northampton Town,https://www.playnow.com/sports/sports/event/10198971/shrewsbury-town-v-northampton-town,1.06,8.5,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0
2020-09-19,league-one,Peterborough United,Fleetwood Town,https://www.playnow.com/sports/sports/event/10198970/peterborough-united-v-fleetwood-town,1.06,8.5,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0
2020-09-19,league-one,Oxford United,Sunderland AFC,https://www.playnow.com/sports/sports/event/10198967/oxford-united-v-sunderland-afc,1.05,9,1.3,3,2,1.75,3.4,1.28,6.5,1.09,0,0
2020-09-19,league-one,Milton Keynes Dons,Lincoln City,https://www.playnow.com/sports/sports/event/10198968/milton-keynes-dons-v-lincoln-city,1.06,8,1.36,2.9,2.1,1.67,3.6,1.25,6.5,1.07,0,0
2020-09-19,league-one,Hull City,Crewe Alexandra,https://www.playnow.com/sports/sports/event/10198969/hull-city-v-crewe-alexandra,1.04,10,1.28,3.25,1.87,1.83,3,1.33,5.5,1.11,0,0
2020-09-19,league-one,Charlton Athletic,Doncaster Rovers,https://www.playnow.com/sports/sports/event/10198963/charlton-athletic-v-doncaster-rovers,1.05,10,1.3,3.2,1.9,1.8,3.25,1.3,6,1.1,0,0
2020-09-19,league-one,Burton Albion,Accrington Stanley,https://www.playnow.com/sports/sports/event/10198959/burton-albion-v-accrington-stanley,1.05,10,1.28,3.25,1.9,1.8,3.2,1.3,5.75,1.1,0,0
2020-09-19,league-one,Bristol Rovers,Ipswich Town,https://www.playnow.com/sports/sports/event/10198961/bristol-rovers-v-ipswich-town,1.05,9,1.33,3,2,1.75,3.4,1.28,6.5,1.09,0,0
2020-09-19,league-one,Blackpool,Swindon Town,https://www.playnow.com/sports/sports/event/10198962/blackpool-v-swindon-town,1.05,10,1.28,3.25,1.87,1.83,3.2,1.33,5.75,1.11,0,0
2020-09-19,league-one,AFC Wimbledon,Plymouth Argyle,https://www.playnow.com/sports/sports/event/10198957/afc-wimbledon-v-plymouth-argyle,1.04,11,1.25,3.5,1.8,1.9,2.9,1.36,5.25,1.12,0,0
